name,sourceid
Castrol India Limited,54878
Cat Technologies Limited,54881
Catvision Products Limited,54883
Ceat Limited,54885
Ceejay Finance Limited,54888
Ceekay Daikin Limited,54890
Ceenik Exports (India) Limited,54892
Ceeta Industries Limited,54895
Celebrity Fashions Limited,54897
Celestial Biolabs Limited,54900
Cenlub Industries Limited,54903
Centenial Surgical Suture Limited,54905
Central Bank Of India,54907
Central Provinces Railways Company Limited,54910
Centron Industrial Alliance Limited,54912
Centrum Capital Limited,54914
Centum EMS India Limited,54916
Centum Electronics Limited,54919
Century Enka Limited,54922
Century Extrusions Limited,54925
Century Plyboards (India) Limited,54928
Century Textiles & Industries Limited,54931
Cerebra Integrated Technologies Limited,54934
Chakkilam Infotech Limited,54936
Chaman Lal Setia Exports Limited,54938
Chambal Fertilisers & Chemicals Limited,54940
Champdany Industries Limited,54943
Chandni Textiles Engineering Industries Limited,54946
Chandra Prabhu International Limited,54948
Chandrika Traders Limited,54950
Channel Guide India Limited,54952
Charms Industries Limited,54954
Chartered Capital & Investment Limited,54956
Chartered Logistics Limited,54958
Chase Bright Steel Limited,54960
Chembond Chemicals Limited,54962
Chemcel Biotech Limited,54964
Chemfab Alkalis Limited,54966
Chemplast Sanmar Limited,54969
Chennai Meenakshi Multispeciality Hospital Limited,54972
Chennai Petroleum Corporation Limited,54974
Cheslind Textiles Limited,54977
Chettinad Cement Corporation Limited,54980
Cheviot Company Limited,54983
Chhattisgarh Industries Limited,54985
Chitradurga Spintex Limited,54987
Choice International Limited,54989
Chokhani Securities Limited,54991
Choksi Imaging Limited,54993
Choksi Laboratories Limited,54995
Cholamandalam DBS Finance Limited,54997
Chordia Food Products Limited,55000
Chowgule Steamships Limited,55002
Chromatic India Limited,55005
Ciba India Limited,55007
Cindrella Financial Services Limited,55010
Cindrella Hotels Limited,55012
Cinemax India Limited,55014
Cinerad Communications Limited,55017
Cinevistaas Limited,55019
Cipla Limited,55022
Circuit Systems (India) Limited,55025
Citadel Realty & Developers Limited,55027
Citi Port Financial Services Limited,55029
Citurgia Biochemicals Limited,55031
City Union Bank Limited,55034
Clariant Chemicals (India) Limited,55037
Clarus Finance & Securities Limited,55040
Classic Diamonds (India) Limited,55042
Classic Electricals Limited,55045
Clio Infotech Limited,55047
Clutch Auto Limited,55049
Cni Research Limited,55052
